"","row","year","date","color"
"1",1,2009,20090325,"#1B1C1C"
"2",2,2009,20090326,"#1B1C1C"
"3",3,2009,20090327,"#1B1C1C"
"4",4,2009,20090328,"#1B1C1C"
"5",5,2009,20090329,"#1F1E1E"
"6",6,2009,20090330,"#36577B"
"7",7,2009,20090331,"#343E48"
"8",8,2009,20090401,"#181817"
"9",9,2009,20090402,"#4F4C4D"
"10",10,2009,20090403,"#141414"
"11",11,2009,20090404,"#555255"
"12",12,2009,20090405,"#2A2724"
"13",13,2009,20090406,"#1A1A1A"
"14",14,2009,20090407,"#4B4849"
"15",15,2009,20090408,"#22211F"
"16",16,2009,20090409,"#252423"
"17",17,2009,20090410,"#18191A"
"18",18,2009,20090411,"#2C2927"
"19",19,2009,20090412,"#20201E"
"20",20,2009,20090413,"#222222"
"21",21,2009,20090414,"#1A1A1A"
"22",22,2009,20090415,"#1F1E1D"
"23",23,2009,20090416,"#1E1D1C"
"24",24,2009,20090417,"#1F1F1E"
"25",25,2009,20090418,"#1D1D1D"
"26",26,2009,20090419,"#33312F"
"27",27,2009,20090420,"#272623"
"28",28,2009,20090421,"#26231E"
"29",29,2009,20090422,"#595858"
"30",30,2009,20090423,"#818084"
"31",31,2009,20090424,"#2E2C28"
"32",32,2009,20090425,"#1E1F1E"
"33",33,2009,20090426,"#1D1E1E"
"34",34,2009,20090427,"#1D1E1E"
"35",35,2009,20090428,"#202121"
"36",36,2009,20090429,"#292925"
"37",37,2009,20090430,"#252320"
"38",38,2009,20090501,"#30302A"
"39",39,2009,20090502,"#1E201F"
"40",40,2009,20090503,"#181A1A"
"41",41,2009,20090504,"#525251"
"42",42,2009,20090505,"#22221D"
"43",43,2009,20090506,"#33342E"
"44",44,2009,20090507,"#26271E"
"45",45,2009,20090508,"#1E1F1A"
"46",46,2009,20090509,"#262920"
"47",47,2009,20090510,"#23261F"
"48",48,2009,20090511,"#292A20"
"49",49,2009,20090512,"#1A1D17"
"50",50,2009,20090513,"#27291C"
"51",51,2009,20090514,"#24251A"
"52",52,2009,20090515,"#272D1A"
"53",53,2009,20090516,"#202318"
"54",54,2009,20090517,"#50524E"
"55",55,2009,20090518,"#1D2116"
"56",56,2009,20090519,"#24271A"
"57",57,2009,20090520,"#22261B"
"58",58,2009,20090521,"#1F2419"
"59",59,2009,20090522,"#21251C"
"60",60,2009,20090523,"#1E271A"
"61",61,2009,20090524,"#181D12"
"62",62,2009,20090525,"#151B15"
"63",63,2009,20090526,"#1B2019"
"64",64,2009,20090527,"#171D12"
"65",65,2009,20090528,"#4B4F48"
"66",66,2009,20090529,"#3F453F"
"67",67,2009,20090530,"#1E2817"
"68",68,2009,20090531,"#181D17"
"69",69,2009,20090601,"#20251E"
"70",70,2009,20090602,"#1F2519"
"71",71,2009,20090603,"#1D221B"
"72",72,2009,20090604,"#192015"
"73",73,2009,20090605,"#192115"
"74",74,2009,20090606,"#171D15"
"75",75,2009,20090607,"#171B15"
"76",76,2009,20090608,"#212B19"
"77",77,2009,20090609,"#121612"
"78",78,2009,20090610,"#515450"
"79",79,2009,20090611,"#161B13"
"80",80,2009,20090612,"#444843"
"81",81,2009,20090613,"#1A1F19"
"82",82,2009,20090614,"#101511"
"83",83,2009,20090615,"#191E18"
"84",84,2009,20090616,"#151A14"
"85",85,2009,20090617,"#161A16"
"86",86,2009,20090618,"#121611"
"87",87,2009,20090619,"#3E433B"
"88",88,2009,20090620,"#161B16"
"89",89,2009,20090621,"#444843"
"90",90,2009,20090622,"#121613"
"91",91,2009,20090623,"#171D15"
"92",92,2009,20090624,"#1B201A"
"93",93,2009,20090625,"#121512"
"94",94,2009,20090626,"#161916"
"95",95,2009,20090627,"#4C4F4B"
"96",96,2009,20090628,"#171B18"
"97",97,2009,20090629,"#181C17"
"98",98,2009,20090630,"#171C1A"
"99",99,2009,20090701,"#191F17"
"100",100,2009,20090702,"#292E26"
"101",101,2009,20090703,"#141814"
"102",102,2009,20090704,"#191D1A"
"103",103,2009,20090705,"#181D1A"
"104",104,2009,20090706,"#111514"
"105",105,2009,20090707,"#171B18"
"106",106,2009,20090708,"#191D18"
"107",107,2009,20090709,"#101312"
"108",108,2009,20090710,"#151916"
"109",109,2009,20090711,"#161917"
"110",110,2009,20090712,"#1F2718"
"111",111,2009,20090713,"#161B18"
"112",112,2009,20090714,"#181C18"
"113",113,2009,20090715,"#131713"
"114",114,2009,20090716,"#111411"
"115",115,2009,20090717,"#252D22"
"116",116,2009,20090718,"#2A3024"
"117",117,2009,20090722,"#3D403A"
"118",118,2009,20090723,"#131715"
"119",119,2009,20090724,"#161916"
"120",120,2009,20090725,"#151815"
"121",121,2009,20090726,"#181C1A"
"122",122,2009,20090727,"#1A1D18"
"123",123,2009,20090728,"#111616"
"124",124,2009,20090729,"#151816"
"125",125,2009,20090730,"#31352E"
"126",126,2009,20090731,"#151816"
"127",127,2009,20090801,"#3B3D39"
"128",128,2009,20090802,"#181A18"
"129",129,2009,20090803,"#1A1F1A"
"130",130,2009,20090804,"#161917"
"131",131,2009,20090805,"#171B1A"
"132",132,2009,20090806,"#141714"
"133",133,2009,20090807,"#131614"
"134",134,2009,20090808,"#0E1110"
"135",135,2009,20090809,"#121512"
"136",136,2009,20090810,"#4D4F4B"
"137",137,2009,20090811,"#1A1F18"
"138",138,2009,20090812,"#131614"
"139",139,2009,20090813,"#171B16"
"140",140,2009,20090814,"#1A1F18"
"141",141,2009,20090815,"#151816"
"142",142,2009,20090816,"#141715"
"143",143,2009,20090817,"#171B18"
"144",144,2009,20090818,"#161A19"
"145",145,2009,20090819,"#171C19"
"146",146,2009,20090820,"#191D19"
"147",147,2009,20090821,"#181C19"
"148",148,2009,20090822,"#4B4E4B"
"149",149,2009,20090823,"#232621"
"150",150,2009,20090824,"#1A1D15"
"151",151,2009,20090825,"#141615"
"152",152,2009,20090826,"#121413"
"153",153,2009,20090827,"#1A1F18"
"154",154,2009,20090828,"#131613"
"155",155,2009,20090829,"#141816"
"156",156,2009,20090830,"#131815"
"157",157,2009,20090831,"#131513"
"158",158,2009,20090901,"#121311"
"159",159,2009,20090902,"#111311"
"160",160,2009,20090903,"#111311"
"161",161,2009,20090904,"#121311"
"162",162,2009,20090905,"#141513"
"163",163,2009,20090906,"#101211"
"164",164,2009,20090907,"#0F1311"
"165",165,2009,20090908,"#191C16"
"166",166,2009,20090909,"#161815"
"167",167,2009,20090910,"#101311"
"168",168,2009,20090911,"#141715"
"169",169,2009,20090912,"#394148"
"170",170,2009,20090913,"#1D211E"
"171",171,2009,20090914,"#111211"
"172",172,2009,20090915,"#0F100F"
"173",173,2009,20090916,"#0E0E0E"
"174",174,2009,20090917,"#171916"
"175",175,2009,20090918,"#0F0F0F"
"176",176,2009,20090919,"#131413"
"177",177,2009,20090920,"#0E0E0D"
"178",178,2009,20090921,"#0D0D0D"
"179",179,2009,20090922,"#0D0F0F"
"180",180,2009,20090923,"#0B0E10"
"181",181,2009,20090924,"#0C0E10"
"182",182,2009,20090925,"#0B0D0D"
"183",183,2009,20090926,"#0D0D0D"
"184",184,2009,20090927,"#090C0D"
"185",185,2009,20090928,"#1A212C"
"186",186,2009,20090929,"#020202"
"187",187,2009,20090930,"#090A0B"
"188",188,2009,20091001,"#030303"
"189",189,2009,20091002,"#010102"
"190",190,2009,20091003,"#010101"
"191",191,2009,20091004,"#0A0B0C"
"192",192,2009,20091005,"#010101"
"193",193,2009,20091006,"#010101"
"194",194,2009,20091007,"#000000"
"195",195,2009,20091008,"#000000"
"196",196,2009,20091009,"#000000"
"197",197,2009,20091010,"#000000"
"198",198,2009,20091011,"#000000"
"199",199,2009,20091012,"#000000"
"200",200,2009,20091013,"#000000"
"201",201,2009,20091014,"#000000"
"202",202,2009,20091015,"#000000"
"203",203,2009,20091016,"#000000"
"204",204,2009,20091017,"#000000"
"205",205,2009,20091018,"#000000"
"206",206,2009,20091019,"#000000"
"207",207,2009,20091020,"#000000"
"208",208,2009,20091021,"#000000"
"209",209,2009,20091022,"#000000"
"210",210,2009,20091023,"#000000"
"211",211,2009,20091024,"#000000"
"212",212,2009,20091025,"#000000"
"213",213,2009,20091026,"#000000"
"214",214,2009,20091027,"#000000"
"215",215,2009,20091028,"#000000"
"216",216,2009,20091029,"#000000"
"217",217,2009,20091030,"#000000"
"218",218,2009,20091031,"#000000"
"219",219,2009,20091101,"#000000"
"220",220,2009,20091102,"#010101"
"221",221,2009,20091103,"#010101"
"222",222,2009,20091104,"#000000"
"223",223,2009,20091105,"#000000"
"224",224,2009,20091106,"#000000"
"225",225,2009,20091107,"#000000"
"226",226,2009,20091108,"#000000"
"227",227,2009,20091109,"#000000"
"228",228,2009,20091110,"#000000"
"229",229,2009,20091111,"#000000"
"230",230,2009,20091112,"#000000"
"231",231,2009,20091113,"#000000"
"232",232,2009,20091114,"#000000"
"233",233,2009,20091115,"#000000"
"234",234,2009,20091116,"#000000"
"235",235,2009,20091117,"#000000"
"236",236,2009,20091118,"#000000"
"237",237,2009,20091119,"#000000"
"238",238,2009,20091120,"#000000"
"239",239,2009,20091121,"#010101"
"240",240,2009,20091122,"#000000"
"241",241,2009,20091123,"#000000"
"242",242,2009,20091124,"#000000"
"243",243,2009,20091125,"#000000"
"244",244,2009,20091126,"#000000"
"245",245,2009,20091127,"#010101"
"246",246,2009,20091128,"#000000"
"247",247,2009,20091129,"#000000"
"248",248,2009,20091130,"#000000"
"249",249,2009,20091201,"#000000"
"250",250,2009,20091202,"#010101"
"251",251,2009,20091203,"#000000"
"252",252,2009,20091204,"#000000"
"253",253,2009,20091205,"#000000"
"254",254,2009,20091206,"#010101"
"255",255,2009,20091207,"#000000"
"256",256,2009,20091208,"#000000"
"257",257,2009,20091209,"#000000"
"258",258,2009,20091210,"#000000"
"259",259,2009,20091211,"#000000"
"260",260,2009,20091212,"#000000"
"261",261,2009,20091213,"#000000"
"262",262,2009,20091214,"#000000"
"263",263,2009,20091215,"#000000"
"264",264,2009,20091216,"#000000"
"265",265,2009,20091217,"#010101"
"266",266,2009,20091218,"#000000"
"267",267,2009,20091219,"#000000"
"268",268,2009,20091220,"#000000"
"269",269,2009,20091221,"#000000"
"270",270,2009,20091222,"#000000"
"271",271,2009,20091223,"#000000"
"272",272,2009,20091224,"#000000"
"273",273,2009,20091225,"#000000"
"274",274,2009,20091226,"#000000"
"275",275,2009,20091227,"#010101"
"276",276,2009,20091228,"#010101"
"277",277,2009,20091229,"#010101"
"278",278,2009,20091230,"#010101"
"279",279,2009,20091231,"#010101"
"280",280,2010,20100101,"#010101"
"281",281,2010,20100102,"#010101"
"282",282,2010,20100103,"#000000"
"283",283,2010,20100104,"#000000"
"284",284,2010,20100105,"#000000"
"285",285,2010,20100106,"#000000"
"286",286,2010,20100107,"#010101"
"287",287,2010,20100108,"#000000"
"288",288,2010,20100109,"#000000"
"289",289,2010,20100110,"#000000"
"290",290,2010,20100111,"#000000"
"291",291,2010,20100112,"#000000"
"292",292,2010,20100113,"#000000"
"293",293,2010,20100114,"#010101"
"294",294,2010,20100115,"#000000"
"295",295,2010,20100116,"#010101"
"296",296,2010,20100117,"#000000"
"297",297,2010,20100118,"#000000"
"298",298,2010,20100119,"#000000"
"299",299,2010,20100120,"#010101"
"300",300,2010,20100121,"#000000"
"301",301,2010,20100122,"#000000"
"302",302,2010,20100123,"#000000"
"303",303,2010,20100124,"#000000"
"304",304,2010,20100125,"#000000"
"305",305,2010,20100126,"#000000"
"306",306,2010,20100127,"#000000"
"307",307,2010,20100128,"#010101"
"308",308,2010,20100129,"#010101"
"309",309,2010,20100130,"#010101"
"310",310,2010,20100131,"#000000"
"311",311,2010,20100201,"#000000"
"312",312,2010,20100202,"#000000"
"313",313,2010,20100203,"#010101"
"314",314,2010,20100204,"#000000"
"315",315,2010,20100205,"#000000"
"316",316,2010,20100206,"#000000"
"317",317,2010,20100207,"#000000"
"318",318,2010,20100208,"#000000"
"319",319,2010,20100209,"#000000"
"320",320,2010,20100210,"#000000"
"321",321,2010,20100211,"#020202"
"322",322,2010,20100212,"#000000"
"323",323,2010,20100213,"#000000"
"324",324,2010,20100214,"#000000"
"325",325,2010,20100215,"#000000"
"326",326,2010,20100216,"#000000"
"327",327,2010,20100217,"#010101"
"328",328,2010,20100218,"#010101"
"329",329,2010,20100219,"#000000"
"330",330,2010,20100220,"#000000"
"331",331,2010,20100221,"#010101"
"332",332,2010,20100222,"#000000"
"333",333,2010,20100223,"#010101"
"334",334,2010,20100224,"#010101"
"335",335,2010,20100225,"#010101"
"336",336,2010,20100226,"#000000"
"337",337,2010,20100227,"#010101"
"338",338,2010,20100228,"#010101"
"339",339,2010,20100301,"#010101"
"340",340,2010,20100302,"#000000"
"341",341,2010,20100303,"#000001"
"342",342,2010,20100304,"#000000"
"343",343,2010,20100305,"#010101"
"344",344,2010,20100306,"#000000"
"345",345,2010,20100307,"#000000"
"346",346,2010,20100308,"#000000"
"347",347,2010,20100309,"#000000"
"348",348,2010,20100310,"#000000"
"349",349,2010,20100311,"#000000"
"350",350,2010,20100312,"#000000"
"351",351,2010,20100313,"#000000"
"352",352,2010,20100314,"#151C27"
"353",353,2010,20100315,"#1A202B"
"354",354,2010,20100316,"#121922"
"355",355,2010,20100317,"#15161A"
"356",356,2010,20100318,"#16171B"
"357",357,2010,20100319,"#16171A"
"358",358,2010,20100320,"#16191C"
"359",359,2010,20100321,"#18191C"
"360",360,2010,20100323,"#34547B"
"361",361,2010,20100324,"#404C66"
"362",362,2010,20100325,"#161617"
"363",363,2010,20100326,"#1C1F23"
"364",364,2010,20100327,"#171717"
"365",365,2010,20100328,"#151719"
"366",366,2010,20100329,"#374963"
"367",367,2010,20100330,"#3A3641"
"368",368,2010,20100331,"#1F242D"
"369",369,2010,20100401,"#1C1E22"
"370",370,2010,20100402,"#171818"
"371",371,2010,20100403,"#191A1B"
"372",372,2010,20100404,"#191919"
"373",373,2010,20100405,"#1F1F1F"
"374",374,2010,20100406,"#232220"
"375",375,2010,20100407,"#292623"
"376",376,2010,20100408,"#171819"
"377",377,2010,20100409,"#21201E"
"378",378,2010,20100410,"#1E1D1D"
"379",379,2010,20100411,"#1B1A19"
"380",380,2010,20100412,"#1B1B1A"
"381",381,2010,20100413,"#191A1A"
"382",382,2010,20100414,"#1C1D1C"
"383",383,2010,20100415,"#1D1C1B"
"384",384,2010,20100416,"#202223"
"385",385,2010,20100417,"#1A1917"
"386",386,2010,20100418,"#262523"
"387",387,2010,20100419,"#272727"
"388",388,2010,20100420,"#1D1D1C"
"389",389,2010,20100421,"#1C1D1D"
"390",390,2010,20100422,"#1E1F1D"
"391",391,2010,20100423,"#212220"
"392",392,2010,20100424,"#21201E"
"393",393,2010,20100425,"#22231F"
"394",394,2010,20100426,"#262925"
"395",395,2010,20100427,"#21211D"
"396",396,2010,20100428,"#2F2F27"
"397",397,2010,20100429,"#2A2921"
"398",398,2010,20100430,"#262520"
"399",399,2010,20100501,"#21211D"
"400",400,2010,20100502,"#373525"
"401",401,2010,20100503,"#20241B"
"402",402,2010,20100504,"#23241C"
"403",403,2010,20100505,"#1F2119"
"404",404,2010,20100506,"#191C15"
"405",405,2010,20100507,"#1B1E17"
"406",406,2010,20100508,"#191E15"
"407",407,2010,20100509,"#2A2E1C"
"408",408,2010,20100510,"#2C351B"
"409",409,2010,20100511,"#1D2018"
"410",410,2010,20100512,"#293119"
"411",411,2010,20100513,"#2F3425"
"412",412,2010,20100514,"#1F2516"
"413",413,2010,20100515,"#1E2219"
"414",414,2010,20100516,"#1D2119"
"415",415,2010,20100517,"#1D1F17"
"416",416,2010,20100518,"#1C2415"
"417",417,2010,20100519,"#2A3027"
"418",418,2010,20100520,"#303628"
"419",419,2010,20100521,"#181B15"
"420",420,2010,20100522,"#131813"
"421",421,2010,20100523,"#151A11"
"422",422,2010,20100524,"#141712"
"423",423,2010,20100525,"#1A1E18"
"424",424,2010,20100526,"#181B16"
"425",425,2010,20100527,"#171B17"
"426",426,2010,20100528,"#131A13"
"427",427,2010,20100531,"#181C16"
"428",428,2010,20100601,"#131612"
"429",429,2010,20100602,"#1A1E1A"
"430",430,2010,20100915,"#111311"
"431",431,2010,20100916,"#0F110F"
"432",432,2010,20100917,"#333F4C"
"433",433,2010,20100918,"#141715"
"434",434,2010,20100919,"#0C0E0E"
"435",435,2010,20100920,"#0E1110"
"436",436,2010,20100921,"#0D0E0D"
"437",437,2010,20100922,"#0B0C0C"
"438",438,2010,20100923,"#07090A"
"439",439,2010,20100924,"#070909"
"440",440,2010,20100925,"#0C0C0C"
"441",441,2010,20100926,"#070707"
"442",442,2010,20100927,"#030404"
"443",443,2010,20100928,"#020303"
"444",444,2010,20100929,"#010101"
"445",445,2010,20100930,"#010101"
"446",446,2010,20101001,"#000000"
"447",447,2010,20101002,"#030303"
"448",448,2010,20101003,"#010101"
"449",449,2010,20101004,"#010101"
"450",450,2010,20101005,"#000000"
"451",451,2010,20101006,"#010101"
"452",452,2010,20101007,"#000000"
"453",453,2010,20101008,"#000000"
"454",454,2010,20101009,"#000000"
"455",455,2010,20101010,"#000000"
"456",456,2010,20101011,"#000000"
"457",457,2010,20101012,"#000000"
"458",458,2010,20101013,"#000000"
"459",459,2010,20101014,"#000000"
"460",460,2010,20101015,"#000000"
"461",461,2010,20101016,"#000000"
"462",462,2010,20101017,"#000000"
"463",463,2010,20101018,"#000000"
"464",464,2010,20101019,"#000000"
"465",465,2010,20101020,"#000000"
"466",466,2010,20101021,"#010101"
"467",467,2010,20101022,"#000000"
"468",468,2010,20101023,"#000000"
"469",469,2010,20101024,"#000000"
"470",470,2010,20101025,"#000000"
"471",471,2010,20101026,"#000000"
"472",472,2010,20101027,"#000000"
"473",473,2010,20101028,"#000000"
"474",474,2010,20101029,"#000000"
"475",475,2010,20101030,"#000000"
"476",476,2010,20101031,"#000000"
"477",477,2010,20101101,"#000000"
"478",478,2010,20101102,"#000000"
"479",479,2010,20101103,"#000000"
"480",480,2010,20101104,"#000000"
"481",481,2010,20101105,"#000000"
"482",482,2010,20101106,"#000000"
"483",483,2010,20101107,"#000000"
"484",484,2010,20101108,"#000000"
"485",485,2010,20101117,"#000000"
"486",486,2010,20101118,"#010101"
"487",487,2010,20101119,"#000000"
"488",488,2010,20101120,"#000000"
"489",489,2010,20101121,"#010101"
"490",490,2010,20101122,"#010101"
"491",491,2010,20101123,"#000000"
"492",492,2010,20101124,"#000000"
"493",493,2010,20101125,"#000000"
"494",494,2010,20101126,"#000000"
"495",495,2010,20101127,"#000000"
"496",496,2010,20101128,"#000000"
"497",497,2010,20101129,"#000000"
"498",498,2010,20101130,"#000000"
"499",499,2010,20101201,"#000000"
"500",500,2010,20101202,"#000000"
"501",501,2010,20101203,"#010101"
"502",502,2010,20101204,"#000000"
"503",503,2010,20101205,"#000000"
"504",504,2010,20101206,"#000000"
"505",505,2010,20101207,"#000000"
"506",506,2010,20101208,"#000000"
"507",507,2010,20101209,"#000000"
"508",508,2010,20101210,"#000000"
"509",509,2010,20101211,"#000000"
"510",510,2010,20101212,"#000000"
"511",511,2010,20101213,"#000000"
"512",512,2010,20101214,"#000000"
"513",513,2010,20101215,"#000000"
"514",514,2010,20101216,"#010101"
"515",515,2010,20101217,"#010101"
"516",516,2010,20101218,"#010101"
"517",517,2010,20101219,"#010101"
"518",518,2010,20101220,"#010101"
"519",519,2010,20101221,"#010101"
"520",520,2010,20101222,"#010101"
"521",521,2010,20101223,"#000000"
"522",522,2010,20101224,"#000000"
"523",523,2010,20101225,"#000000"
"524",524,2010,20101226,"#000000"
"525",525,2010,20101227,"#010101"
"526",526,2010,20101228,"#000000"
"527",527,2010,20101229,"#010101"
"528",528,2010,20101230,"#010101"
"529",529,2010,20101231,"#000000"
"530",530,2011,20110101,"#000000"
"531",531,2011,20110102,"#000000"
"532",532,2011,20110103,"#000000"
"533",533,2011,20110104,"#010101"
"534",534,2011,20110105,"#010101"
"535",535,2011,20110106,"#010101"
"536",536,2011,20110107,"#010101"
"537",537,2011,20110108,"#040404"
"538",538,2011,20110109,"#020101"
"539",539,2011,20110110,"#010101"
"540",540,2011,20110111,"#010101"
"541",541,2011,20110112,"#010101"
"542",542,2011,20110113,"#030303"
"543",543,2011,20110114,"#020202"
"544",544,2011,20110115,"#020201"
"545",545,2011,20110116,"#020202"
"546",546,2011,20110117,"#020202"
"547",547,2011,20110118,"#010101"
"548",548,2011,20110119,"#010101"
"549",549,2011,20110120,"#010101"
"550",550,2011,20110121,"#010101"
"551",551,2011,20110122,"#000000"
"552",552,2011,20110123,"#000000"
"553",553,2011,20110124,"#000000"
"554",554,2011,20110125,"#000000"
"555",555,2011,20110126,"#000000"
"556",556,2011,20110127,"#010101"
"557",557,2011,20110128,"#000000"
"558",558,2011,20110129,"#010101"
"559",559,2011,20110130,"#000000"
"560",560,2011,20110131,"#000000"
"561",561,2011,20110201,"#010101"
"562",562,2011,20110202,"#020202"
"563",563,2011,20110203,"#000000"
"564",564,2011,20110204,"#010101"
"565",565,2011,20110205,"#000000"
"566",566,2011,20110206,"#010101"
"567",567,2011,20110207,"#000000"
